cell,arm,dock,period,phase,nav,outcome,docked,t_dock_s,capture_lateral_m,capture_vertical_m,capture_offset_m,closing_speed_m_s,contact_offset_m,contact_speed_m_s,meas_err_rms_cm,track_err_rms_cm,vel_err_rms_m_s,vel_amp_ratio,vel_err_corr_vehicle,vel_err_corr_nav,veh_over_dock,blackout_frac,n_demotions,n_stale,n_gaps_gt1s
clamped_static_static_p0_ph0.0,static,static,0.0,0.0,,CLEAN,True,20.008,-0.0004,-0.0001,0.0004,0.0802,nan,nan,0.3664,0.1241,0.0,0.0,nan,nan,nan,0.0255,0,1,1
clamped_static_sway_p10_ph0.0,static,sway,10.0,0.0,,CLEAN,True,17.168,-0.0049,-0.0023,0.0054,0.0877,nan,nan,0.33,3.4638,0.0421,0.0,-0.635,nan,0.8399,0.1352,0,1,1
clamped_static_sway_p10_ph2.094,static,sway,10.0,2.094,,CLEAN,True,21.214,-0.0149,0.0102,0.018,0.0881,nan,nan,0.9332,3.4147,0.0439,0.0,-0.6351,nan,1.0569,0.1319,0,1,2
clamped_static_sway_p10_ph4.189,static,sway,10.0,4.189,,CLEAN,True,20.079,0.0141,0.0044,0.0148,0.0845,nan,nan,0.302,4.2572,0.0457,0.0,-0.6295,nan,0.961,0.0861,0,1,1
clamped_static_sway_p12_ph0.0,static,sway,12.0,0.0,,CLEAN,True,29.601,0.0072,0.0207,0.0219,0.0864,nan,nan,0.3083,3.9162,0.0362,0.0,-0.5221,nan,1.0088,0.0,1,2,0
clamped_static_sway_p12_ph2.094,static,sway,12.0,2.094,,CLEAN,True,16.761,0.021,0.0054,0.0217,0.0887,nan,nan,0.2381,3.9576,0.0365,0.0,-0.6646,nan,1.0625,0.0,0,1,0
clamped_static_sway_p12_ph4.189,static,sway,12.0,4.189,,CLEAN,True,20.266,-0.0012,0.0032,0.0034,0.0829,nan,nan,0.3282,2.8933,0.0369,0.0,-0.6825,nan,1.1914,0.1986,0,1,2
clamped_static_sway_p16_ph0.0,static,sway,16.0,0.0,,CLEAN,True,21.307,0.0028,-0.0041,0.005,0.0862,nan,nan,0.1925,3.2972,0.0278,0.0,-0.7113,nan,0.923,0.2194,0,1,1
clamped_static_sway_p16_ph2.094,static,sway,16.0,2.094,,CLEAN,True,19.43,-0.0152,0.0134,0.0203,0.0854,nan,nan,0.7438,2.9055,0.026,0.0,-0.756,nan,1.0676,0.2646,0,1,1
clamped_static_sway_p16_ph4.189,static,sway,16.0,4.189,,CLEAN,True,20.763,0.0046,0.0216,0.0221,0.0786,nan,nan,0.861,2.2456,0.0278,0.0,-0.7258,nan,0.9533,0.0,0,1,0
clamped_static_sway_p20_ph0.0,static,sway,20.0,0.0,,CLEAN,True,21.44,0.0023,0.0118,0.012,0.0913,nan,nan,0.2831,2.9417,0.0235,0.0,-0.625,nan,0.8919,0.0,0,1,0
clamped_static_sway_p20_ph2.094,static,sway,20.0,2.094,,CLEAN,True,20.897,0.0192,-0.0049,0.0198,0.0911,nan,nan,0.2454,1.7014,0.0215,0.0,-0.5935,nan,0.7877,0.0,0,1,0
clamped_static_sway_p20_ph4.189,static,sway,20.0,4.189,,CLEAN,True,18.176,-0.0041,-0.001,0.0042,0.0806,nan,nan,0.2991,2.7598,0.022,0.0,-0.6186,nan,0.9442,0.0842,0,1,1
clamped_static_sway_p6_ph0.0,static,sway,6.0,0.0,,CONTACT,True,28.762,-0.0123,-0.0162,0.0203,0.0828,0.1511,0.0321,0.2589,6.7378,0.074,0.0,-0.4507,nan,0.7437,0.3226,0,4,2
clamped_static_sway_p6_ph2.094,static,sway,6.0,2.094,,CLEAN,True,27.231,-0.0313,0.036,0.0477,0.0735,nan,nan,0.8354,6.1615,0.0738,0.0,-0.594,nan,1.0058,0.0805,0,2,1
clamped_static_sway_p6_ph4.189,static,sway,6.0,4.189,,CONTACT,True,104.282,-0.06,0.0301,0.0671,0.0871,0.1512,0.0559,0.2422,8.1885,0.0732,0.0,-0.2046,nan,0.9591,0.0833,4,14,5
clamped_static_sway_p8_ph0.0,static,sway,8.0,0.0,,CLEAN,True,19.427,0.0111,0.0286,0.0307,0.0875,nan,nan,0.3263,4.1277,0.0537,0.0,-0.6541,nan,0.8738,0.0,0,1,0
clamped_static_sway_p8_ph2.094,static,sway,8.0,2.094,,CLEAN,True,18.129,-0.0142,0.0008,0.0143,0.0856,nan,nan,0.1907,3.633,0.0545,0.0,-0.5748,nan,1.2871,0.2595,0,1,3
clamped_static_sway_p8_ph4.189,static,sway,8.0,4.189,,CLEAN,True,21.718,0.0192,0.0237,0.0305,0.0872,nan,nan,0.3251,5.7488,0.0557,0.0,-0.4949,nan,0.9902,0.0959,0,2,1
clamped_sway_static_p0_ph0.0,sway,static,0.0,0.0,,CLEAN,True,19.017,-0.0008,0.0072,0.0073,0.0859,nan,nan,0.1922,0.1512,0.0058,5835600.0947,-0.0489,nan,nan,0.0299,0,1,1
clamped_sway_sway_p10_ph0.0,sway,sway,10.0,0.0,,CLEAN,True,46.895,0.0429,0.0319,0.0535,0.0299,nan,nan,0.1618,0.5159,0.0135,1.0291,-0.1261,nan,1.3886,0.028,0,2,1
clamped_sway_sway_p10_ph2.094,sway,sway,10.0,2.094,,CONTACT,True,122.57,-0.0233,0.0019,0.0233,0.0566,0.1505,0.0007,0.155,0.5657,0.0151,1.0618,-0.0583,nan,1.4605,0.1784,2,5,4
clamped_sway_sway_p10_ph4.189,sway,sway,10.0,4.189,,CLEAN,True,48.327,0.0361,0.0148,0.039,0.0599,nan,nan,0.2661,0.3599,0.0134,1.048,-0.0788,nan,1.4119,0.0061,0,1,0
clamped_sway_sway_p12_ph0.0,sway,sway,12.0,0.0,,CLEAN,True,34.659,0.0387,0.0169,0.0422,0.0292,nan,nan,0.2382,0.4785,0.0141,1.0499,-0.0668,nan,1.2526,0.0251,0,2,1
clamped_sway_sway_p12_ph2.094,sway,sway,12.0,2.094,,CLEAN,True,32.437,-0.0242,-0.0075,0.0253,0.0844,nan,nan,0.2129,0.3645,0.0118,1.0247,-0.0573,nan,1.1059,0.061,0,2,1
clamped_sway_sway_p12_ph4.189,sway,sway,12.0,4.189,,CLEAN,True,38.752,0.0192,-0.008,0.0208,0.0106,nan,nan,0.2664,0.3506,0.0118,1.0431,-0.0342,nan,1.2376,0.0,0,1,0
clamped_sway_sway_p16_ph0.0,sway,sway,16.0,0.0,,CLEAN,True,28.363,0.0126,0.0237,0.0269,0.0872,nan,nan,0.2499,0.4134,0.0113,1.1099,0.0823,nan,1.1954,0.0,0,1,0
clamped_sway_sway_p16_ph2.094,sway,sway,16.0,2.094,,CLEAN,True,34.832,-0.0049,0.013,0.0139,0.0928,nan,nan,0.2024,0.4501,0.0116,1.1249,-0.005,nan,1.2306,0.0553,0,2,1
clamped_sway_sway_p16_ph4.189,sway,sway,16.0,4.189,,CLEAN,True,33.078,-0.0051,0.028,0.0285,0.0892,nan,nan,0.2754,0.5277,0.0128,1.158,0.0557,nan,1.1564,0.0,0,1,0
clamped_sway_sway_p20_ph0.0,sway,sway,20.0,0.0,,CLEAN,True,23.765,-0.0257,-0.0051,0.0262,0.0922,nan,nan,0.1974,0.3296,0.0082,1.0692,-0.0718,nan,1.1182,0.0038,0,1,0
clamped_sway_sway_p20_ph2.094,sway,sway,20.0,2.094,,CLEAN,True,22.301,-0.0293,0.0179,0.0343,0.0553,nan,nan,0.2907,0.2632,0.0075,1.0197,-0.0026,nan,0.9684,0.004,0,1,0
clamped_sway_sway_p20_ph4.189,sway,sway,20.0,4.189,,CLEAN,True,22.554,0.0195,-0.0021,0.0196,0.0819,nan,nan,0.2737,0.5005,0.0132,1.1689,-0.084,nan,1.0874,0.0,0,1,0
clamped_sway_sway_p6_ph0.0,sway,sway,6.0,0.0,,CONTACT,False,nan,-0.0971,0.0476,0.1082,0.0127,0.1518,0.0006,0.8027,0.8105,0.0281,1.0107,-0.1275,nan,1.7134,0.0041,1,1,0
clamped_sway_sway_p6_ph2.094,sway,sway,6.0,2.094,,CONTACT,False,nan,-0.0023,0.0853,0.0854,0.038,0.15,0.0179,0.1981,0.7842,0.03,0.9849,-0.1397,nan,1.7281,0.0105,1,1,0
clamped_sway_sway_p6_ph4.189,sway,sway,6.0,4.189,,CONTACT,False,nan,-0.1026,0.0236,0.1053,0.0157,0.1519,0.0035,0.1763,0.942,0.0317,1.029,-0.1324,nan,1.7932,0.0286,1,2,1
clamped_sway_sway_p8_ph0.0,sway,sway,8.0,0.0,,CONTACT,False,nan,0.0726,0.015,0.0741,0.0043,0.1509,0.002,0.545,1.2186,0.0209,1.0347,-0.0496,nan,1.811,0.2967,2,7,5
